,the_geom,Geographic_Area_Name,estimatedPercentBelowPovertyLevel
981,"[[37.681892003, -122.0744131], [37.681052003, -122.0730021], [37.680192003, -122.078704101], [37.680854003, -122.074585101], [37.680783004, -122.0726771], [37.680815003, -122.086413102], [37.682167004, -122.0739291], [37.677969003, -122.080751101], [37.682019003, -122.088070103], [37.685477002, -122.092790104]]",Census Tract 4312,7.50%
982,"[[37.843607005, -122.257020147], [37.849433005, -122.252363147], [37.842848004, -122.257168147], [37.851890006, -122.242303146], [37.851624006, -122.246631146], [37.851720006, -122.245132146], [37.851100006, -122.251529147], [37.851847006, -122.243025146], [37.850262006, -122.244057146], [37.851834006, -122.243242146]]",Census Tract 4002,7.50%
983,"[[38.251497055, -122.040263162], [38.242730053, -122.050089162], [38.241372053, -122.050438162], [38.245026054, -122.040015161], [38.245335053, -122.049847163], [38.242895054, -122.044237161], [38.245322054, -122.039719161], [38.251447054, -122.047799163], [38.244642054, -122.040389161], [38.243177053, -122.043266161]]",Census Tract 2525.02,7.50%
984,"[[37.638409972, -122.463782155], [37.625908972, -122.44255315], [37.636990972, -122.462317155], [37.635205973, -122.448739152], [37.638823972, -122.464073155], [37.633941972, -122.456899153], [37.634978973, -122.445210152], [37.625560972, -122.447963151], [37.625313972, -122.447801151], [37.630739974, -122.43558315]]",Census Tract 6037,7.50%
985,"[[37.996794998, -122.511464204], [38.017552999, -122.526470209], [38.016217001, -122.503157205], [37.990605996, -122.529090205], [38.009214998, -122.530274208], [37.992556996, -122.530838206], [37.995935998, -122.507975203], [37.995774997, -122.533240207], [38.019704, -122.518910207], [37.996727999, -122.511867203]]",Census Tract 1060.02,7.50%
986,"[[37.585698996, -122.07315409], [37.589917996, -122.069452089], [37.589883996, -122.06948109], [37.584767996, -122.062831088], [37.586269996, -122.072656089], [37.586829997, -122.064477088], [37.579621995, -122.067455088], [37.582064995, -122.071862089], [37.583545995, -122.073272089], [37.591063997, -122.06870509]]",Census Tract 4403.06,7.50%
987,"[[37.888683007, -122.276571155], [37.892683008, -122.267043155], [37.888497007, -122.266776154], [37.889174007, -122.274975155], [37.890433007, -122.267187154], [37.886040007, -122.266622153], [37.885383007, -122.275013155], [37.885346007, -122.274976155], [37.886116006, -122.275698155], [37.885335007, -122.272099154]]",Census Tract 4214,7.50%
988,"[[38.368508068, -121.983444167], [38.373805068, -121.99496917], [38.38843607, -121.98385317], [38.376761069, -121.980897167], [38.400593071, -121.988915172], [38.392986071, -121.98198017], [38.37234007, -121.979094167], [38.360129068, -121.981715166], [38.384280069, -121.994077171], [38.397258071, -121.984749171]]",Census Tract 2532.07,7.50%
989,"[[37.711822983, -122.403293154], [37.714361983, -122.403520155], [37.708235982, -122.405595154], [37.708235982, -122.407195155], [37.710609982, -122.411362155], [37.714466983, -122.403126155], [37.712529983, -122.402341155], [37.709214982, -122.411981155], [37.709184982, -122.405116154], [37.708332982, -122.412373155]]",Census Tract 264.03,7.50%
990,"[[37.784064003, -122.205959132], [37.789985003, -122.206965134], [37.791865004, -122.198991133], [37.790180003, -122.206630133], [37.783746003, -122.205589132], [37.785568004, -122.198208132], [37.782522003, -122.204153132], [37.783283003, -122.205067132], [37.791388004, -122.204562133], [37.783329003, -122.202566132]]",Census Tract 4070,7.50%
991,"[[37.421135996, -121.857418038], [37.413718995, -121.87400304], [37.413623995, -121.87392904], [37.410497995, -121.867482038], [37.414439996, -121.859432038], [37.414844995, -121.87468204], [37.418576997, -121.855311037], [37.411406995, -121.865629038], [37.409317994, -121.869893039], [37.413018995, -121.862332038]]",Census Tract 5044.11,7.50%
992,"[[38.248126012, -122.614761249], [38.255088011, -122.629974252], [38.265769013, -122.611106251], [38.260046014, -122.603713249], [38.256868012, -122.61963725], [38.259958013, -122.603813249], [38.250541011, -122.634193253], [38.24310601, -122.623125249], [38.250962012, -122.612189249], [38.240152011, -122.621562249]]",Census Tract 1506.03,7.60%
993,"[[38.289691039, -122.294301205], [38.283145038, -122.293778204], [38.281747039, -122.285273203], [38.283839039, -122.293850205], [38.291224039, -122.293833206], [38.29122504, -122.289812205], [38.290632039, -122.286598204], [38.281731039, -122.288422204], [38.283763038, -122.293851205], [38.29105204, -122.288450205]]",Census Tract 2002.03,7.60%
994,"[[37.326173985, -121.908281036], [37.323262984, -121.913760036], [37.324946985, -121.901439034], [37.324452984, -121.913785036], [37.326032985, -121.911365036], [37.325922984, -121.913584036], [37.322564984, -121.913759036], [37.326041984, -121.911153036], [37.320912984, -121.910677036], [37.326125985, -121.909334036]]",Census Tract 5019.01,7.60%
995,"[[37.294004977, -121.971983041], [37.286094977, -121.976663041], [37.293804977, -121.976249042], [37.294294978, -121.96155304], [37.286684977, -121.966303039], [37.294131978, -121.970687041], [37.285994977, -121.976523041], [37.286955978, -121.960867039], [37.286591977, -121.96715104], [37.286608977, -121.96704804]]",Census Tract 5066.06,7.60%
996,"[[37.492018998, -121.926726056], [37.485288998, -121.926978056], [37.494665998, -121.922031056], [37.485246998, -121.925699056], [37.491602997, -121.927147057], [37.486832998, -121.923445056], [37.491532999, -121.918942055], [37.487990998, -121.923978055], [37.487061998, -121.927983057], [37.488054998, -121.924013056]]",Census Tract 4433.21,7.60%
997,"[[37.787745986, -122.435306168], [37.787279986, -122.435212168], [37.788581987, -122.428725167], [37.787795987, -122.428566167], [37.786319987, -122.431480167], [37.788701986, -122.435499168], [37.788701986, -122.435499168], [37.789119987, -122.432210168], [37.789015987, -122.433032168], [37.786717987, -122.428349167]]",Census Tract 152.02,7.70%
998,"[[37.804891989, -122.416831167], [37.798684989, -122.415585166], [37.799418989, -122.417398166], [37.804027989, -122.418294167], [37.799131989, -122.417362167], [37.799100989, -122.412296166], [37.800036989, -122.412484166], [37.799769989, -122.412431166], [37.80189799, -122.412862166], [37.802747989, -122.413732166]]",Census Tract 103,7.70%
999,"[[37.381615994, -121.840577031], [37.383586994, -121.842080031], [37.380180993, -121.847910032], [37.372463994, -121.839500029], [37.383732994, -121.842434032], [37.377009994, -121.83709403], [37.368079993, -121.846117031], [37.377761993, -121.853328032], [37.382248994, -121.841067032], [37.375856995, -121.83619803]]",Census Tract 5038.04,7.70%
1000,"[[37.958713007, -122.355894176], [37.966712008, -122.356408177], [37.964620008, -122.357052177], [37.963466007, -122.349721175], [37.958632007, -122.355516175], [37.964076008, -122.352716176], [37.963296008, -122.350589176], [37.963401008, -122.348680175], [37.966772007, -122.356498176], [37.963933007, -122.354056176]]",Census Tract 3680.02,7.70%
1001,"[[37.565899975, -122.333583127], [37.558575975, -122.328623126], [37.559184975, -122.328732125], [37.556449975, -122.326242125], [37.568565975, -122.332638127], [37.562801976, -122.321526125], [37.563319975, -122.322090125], [37.560941975, -122.319501124], [37.558813975, -122.328648126], [37.560067976, -122.315621123]]",Census Tract 6064,7.70%
1002,"[[37.612593974, -122.403512143], [37.621459975, -122.411270146], [37.616857974, -122.407951144], [37.612278974, -122.400909143], [37.617482975, -122.403800144], [37.616556974, -122.403105143], [37.616395974, -122.407491144], [37.616713974, -122.403223143], [37.626392975, -122.410404146], [37.611289974, -122.402178143]]",Census Tract 6041.03,7.70%
1003,"[[37.322984976, -122.032383054], [37.322811975, -122.040118055], [37.324214975, -122.048353057], [37.329380975, -122.050523057], [37.328924975, -122.050523057], [37.332254975, -122.048403057], [37.331364975, -122.049863057], [37.322804974, -122.044163056], [37.322805975, -122.036854054], [37.334204976, -122.041423057]]",Census Tract 5078.06,7.70%
1004,"[[37.70526398, -122.424601157], [37.69585198, -122.426176156], [37.69646798, -122.432240157], [37.702227979, -122.442358159], [37.701557979, -122.44812016], [37.69572798, -122.424744155], [37.705683981, -122.424681157], [37.70833798, -122.439690159], [37.699879979, -122.443321159], [37.70389898, -122.423942156]]",Census Tract 6003,7.70%
1005,"[[37.706273019, -121.894710076], [37.713498021, -121.872006073], [37.736433022, -121.881780077], [37.719247019, -121.910183079], [37.723987019, -121.90954108], [37.710442018, -121.910246079], [37.72524302, -121.909548081], [37.714545018, -121.910218079], [37.716371019, -121.910200079], [37.722235019, -121.91014508]]",Census Tract 4501.02,7.70%
1006,"[[37.33790498, -121.984855049], [37.34520498, -121.98813305], [37.340464981, -121.977633048], [37.34514498, -121.98936305], [37.33787498, -121.990873049], [37.33793098, -121.982360048], [37.34512498, -121.99366905], [37.34547498, -121.995653051], [37.345294981, -121.985943049], [37.341984981, -121.977653048]]",Census Tract 5054.03,7.70%
1007,"[[37.73263398, -122.460442166], [37.734216981, -122.456169165], [37.72802898, -122.462716165], [37.73232098, -122.460470165], [37.727001979, -122.462558165], [37.72355298, -122.452349163], [37.72753398, -122.462629165], [37.72413498, -122.457182164], [37.72876998, -122.461152165], [37.73271098, -122.460022165]]",Census Tract 310,7.70%
1008,"[[38.42581501, -122.829528303], [38.41259101, -122.815252299], [38.398971008, -122.8288653], [38.402775009, -122.819742299], [38.405318009, -122.817239299], [38.403135009, -122.817846299], [38.40358701, -122.816436298], [38.398294007, -122.829795299], [38.398194007, -122.839058301], [38.406657009, -122.827091301]]",Census Tract 1534.06,7.70%
1009,,Census Tract 2014.01,7.70%
1010,"[[38.007428993, -122.593909218], [37.999857992, -122.603747218], [38.001506992, -122.610678219], [38.005579994, -122.586178216], [38.002588991, -122.61312222], [37.994555992, -122.596553216], [38.003924994, -122.585623216], [38.012159993, -122.60427022], [37.994327993, -122.584903214], [38.004383991, -122.61431322]]",Census Tract 1142,7.70%
1011,"[[37.723757983, -122.401373155], [37.716935984, -122.399179154], [37.719734983, -122.399138154], [37.719996984, -122.399221155], [37.721431984, -122.399844155], [37.717190984, -122.398960154], [37.723777983, -122.401455155], [37.724980984, -122.403614156], [37.717415983, -122.400025155], [37.718510983, -122.400289154]]",Census Tract 258,7.80%
1012,"[[37.260415981, -121.890720025], [37.262438979, -121.902126027], [37.25774898, -121.893632026], [37.26794898, -121.904674028], [37.25742098, -121.894342026], [37.255466979, -121.898263026], [37.26624798, -121.903952028], [37.255608979, -121.898506026], [37.256625979, -121.899294026], [37.255611979, -121.897957026]]",Census Tract 5029.07,7.80%
1013,"[[38.281953057, -122.038739165], [38.281203058, -122.026647163], [38.308791062, -122.012116165], [38.291188059, -122.034605166], [38.285836059, -122.024896163], [38.324186062, -122.022094168], [38.324253063, -122.011610166], [38.29939106, -122.018035164], [38.288697058, -122.036552166], [38.30173806, -122.014905164]]",Census Tract 2523.13,7.80%
1014,"[[37.952661008, -122.32350517], [37.96487101, -122.31862717], [37.96469001, -122.31552417], [37.951898008, -122.32771517], [37.96608201, -122.321572171], [37.96560301, -122.319438171], [37.95797201, -122.31862417], [37.949852008, -122.32319917], [37.951948009, -122.32210917], [37.96457501, -122.318502171]]",Census Tract 3690.02,7.80%
1015,"[[37.787619004, -122.195157131], [37.792168004, -122.196520132], [37.794667005, -122.185156131], [37.796660005, -122.192417132], [37.797864005, -122.192850132], [37.790611005, -122.18807213], [37.793187005, -122.185625131], [37.798821005, -122.191913132], [37.790661005, -122.188203131], [37.798864005, -122.188712132]]",Census Tract 4069,7.80%
1016,"[[37.787525985, -122.459337171], [37.781149984, -122.463102171], [37.781151984, -122.463230171], [37.781093984, -122.464297172], [37.782944984, -122.464438172], [37.788568985, -122.464794172], [37.788568985, -122.464794172], [37.781231984, -122.461081171], [37.783193985, -122.459011171], [37.788810985, -122.463594173]]",Census Tract 401,7.80%
1017,"[[37.016032979, -121.586688952], [37.026884981, -121.586702953], [37.01994598, -121.586590952], [37.03557498, -121.597012955], [37.014234978, -121.599497954], [37.025074981, -121.586662953], [37.02123498, -121.586582952], [37.014874979, -121.599462953], [37.035407982, -121.588011954], [37.020000979, -121.598930954]]",Census Tract 5125.05,7.80%
1018,"[[37.716636981, -122.43877116], [37.714441981, -122.432790159], [37.716598981, -122.431167159], [37.716324981, -122.43791416], [37.720449981, -122.43479816], [37.717748981, -122.433568159], [37.719328981, -122.438904161], [37.718488981, -122.439544161], [37.71475698, -122.43365216], [37.721579981, -122.437163161]]",Census Tract 260.04,7.80%
1019,"[[38.299153026, -122.483536235], [38.318328026, -122.501031241], [38.297220026, -122.477215234], [38.300982026, -122.493031237], [38.296972026, -122.477137234], [38.296180025, -122.490452236], [38.309251026, -122.485730236], [38.307598027, -122.484156237], [38.307319026, -122.483679236], [38.305880026, -122.495391238]]",Census Tract 1503.04,7.80%
1020,"[[37.878288004, -122.297375157], [37.878645004, -122.295582157], [37.851316003, -122.286507152], [37.856924003, -122.288293154], [37.847396001, -122.301042154], [37.851731002, -122.286647152], [37.852183003, -122.286807153], [37.860426003, -122.292984155], [37.848785002, -122.294703153], [37.882202004, -122.303545159]]",Census Tract 4220,7.80%
1021,"[[37.062254979, -121.662532969], [37.093994985, -121.611372964], [37.041685981, -121.611061959], [37.075324986, -121.578742957], [37.068714983, -121.597442959], [37.059113986, -121.551503951], [37.042314983, -121.576352953], [37.070144984, -121.593407958], [37.04287498, -121.615132959], [37.079062987, -121.568154956]]",Census Tract 5124.01,7.80%
1022,"[[38.063927024, -122.245496171], [38.060307022, -122.263464173], [38.155748021, -122.383621203], [38.076486026, -122.232149171], [38.155423025, -122.335538196], [38.111245025, -122.274381181], [38.077319026, -122.233594171], [38.111093025, -122.274238181], [38.083456026, -122.239412172], [38.076636026, -122.23266917]]",Census Tract 2508.01,7.80%
1023,"[[37.857667006, -122.251193148], [37.857414006, -122.241883147], [37.857651007, -122.238356146], [37.857609007, -122.236839146], [37.858146006, -122.244311147], [37.851818006, -122.245025147], [37.851989005, -122.253092147], [37.857441007, -122.241930146], [37.857608006, -122.242320147], [37.851576005, -122.247514146]]",Census Tract 4238,7.80%
1024,,Census Tract 6135.01,7.80%
1025,"[[37.710574978, -122.462360163], [37.717928979, -122.464453164], [37.708251977, -122.471097164], [37.716625978, -122.472590166], [37.714888978, -122.462621164], [37.710669978, -122.461042163], [37.708660977, -122.471281165], [37.713990978, -122.471652165], [37.709418978, -122.471234164], [37.713908979, -122.462568164]]",Census Tract 313.02,7.80%
1026,"[[38.22871601, -122.615671246], [38.225568009, -122.622941247], [38.228083008, -122.63485925], [38.24388501, -122.630880251], [38.228535008, -122.63458025], [38.222662007, -122.637828249], [38.237036009, -122.637054251], [38.242331011, -122.622672249], [38.222814008, -122.635604249], [38.236333009, -122.639172251]]",Census Tract 1507.01,7.80%
1027,"[[37.774045997, -122.276844142], [37.774360996, -122.291006145], [37.774145996, -122.290871145], [37.775220997, -122.279659143], [37.776145996, -122.284626144], [37.776339996, -122.286330144], [37.766930996, -122.279958142], [37.771463997, -122.276907142], [37.776386997, -122.288074144], [37.774944996, -122.291165145]]",Census Tract 4277,7.80%
1028,"[[37.736733986, -122.394106156], [37.741958986, -122.388263156], [37.739132986, -122.391934156], [37.734018985, -122.390981155], [37.738950986, -122.389702155], [37.732571985, -122.391770155], [37.739232986, -122.391844155], [37.741301987, -122.387156155], [37.735042985, -122.392789156], [37.735496986, -122.386825155]]",Census Tract 612,7.80%
1029,"[[37.696196029, -121.744723052], [37.702899028, -121.761576055], [37.686185027, -121.762440053], [37.702941028, -121.755516054], [37.691046026, -121.773669056], [37.700894027, -121.774296057], [37.686494026, -121.766123054], [37.701604028, -121.769954056], [37.692678026, -121.778915057], [37.691217026, -121.775573055]]",Census Tract 4514.01,7.80%
1030,"[[37.499318973, -122.290370113], [37.487281972, -122.288359112], [37.495044972, -122.296656114], [37.498982974, -122.274476111], [37.489321972, -122.27993611], [37.498779974, -122.272660111], [37.497057972, -122.296100113], [37.498591974, -122.268982109], [37.502265973, -122.284061112], [37.496074974, -122.268262109]]",Census Tract 6096.01,7.90%
1031,"[[37.30495099, -121.809037018], [37.297065989, -121.806644016], [37.29887299, -121.804328016], [37.30669899, -121.810507018], [37.29832699, -121.805089016], [37.30525499, -121.813484019], [37.303150989, -121.816539018], [37.30711899, -121.810855018], [37.29610399, -121.807769017], [37.296069989, -121.807816016]]",Census Tract 5033.37,7.90%
1032,"[[37.362450991, -121.875992034], [37.363333989, -121.896705038], [37.382749991, -121.89587304], [37.36233299, -121.885920036], [37.38097099, -121.895357039], [37.367464989, -121.901023039], [37.365908989, -121.901151039], [37.369757989, -121.901416039], [37.37692699, -121.891016038], [37.365120989, -121.901341038]]",Census Tract 5043.18,7.90%
1033,"[[37.955732008, -122.344306174], [37.952165008, -122.335658171], [37.956235008, -122.346594174], [37.951745007, -122.333874172], [37.954926008, -122.346855174], [37.948058006, -122.347445173], [37.952615008, -122.337499172], [37.954103007, -122.346870174], [37.946307007, -122.347468173], [37.956168007, -122.346289174]]",Census Tract 3720,7.90%
1034,"[[37.929548052, -121.694563071], [37.915163053, -121.681600066], [37.939897055, -121.68336807], [37.917984053, -121.677995067], [37.939961055, -121.67887707], [37.925255052, -121.690634069], [37.939912053, -121.693060072], [37.938594055, -121.677904069], [37.912557052, -121.679272066], [37.936951053, -121.696259072]]",Census Tract 3031.07,7.90%
1035,"[[37.796361004, -122.203701133], [37.797615004, -122.205542134], [37.792535003, -122.214239134], [37.791290004, -122.204737133], [37.789633003, -122.207576134], [37.791422004, -122.204504133], [37.789015003, -122.210474133], [37.794545004, -122.201516133], [37.790568003, -122.212257134], [37.796310004, -122.210982134]]",Census Tract 4066.01,8.00%
1036,,Census Tract 1541,8.00%
1037,"[[38.007270056, -121.740161086], [38.007691056, -121.741763087], [37.991307055, -121.732291084], [37.990540055, -121.731831083], [37.990543056, -121.717940081], [38.005592055, -121.750815088], [37.997825055, -121.739010085], [37.990548055, -121.732294083], [37.992308057, -121.71472408], [37.992147057, -121.715276081]]",Census Tract 3020.05,8.00%
1038,"[[37.889374055, -121.618782054], [37.894712055, -121.618435055], [37.889967054, -121.618385054], [37.889293054, -121.632210056], [37.889278054, -121.626402055], [37.890585053, -121.641122058], [37.909363055, -121.64149806], [37.889286054, -121.628863055], [37.889281053, -121.636842057], [37.898905054, -121.641345058]]",Census Tract 3040.07,8.00%
1039,"[[37.735556977, -122.503123172], [37.735475978, -122.500972172], [37.735346977, -122.501192172], [37.735091976, -122.512745174], [37.742186977, -122.513248174], [37.748834978, -122.508892174], [37.735569977, -122.505275173], [37.735559977, -122.503008172], [37.741914978, -122.501417173], [37.745957977, -122.513585175]]",Census Tract 354,8.00%
1040,,Census Tract 1535.02,8.00%
1041,"[[37.339388991, -121.833425025], [37.334882991, -121.829051024], [37.336690991, -121.830808024], [37.338937991, -121.832987025], [37.335752992, -121.827759024], [37.335001991, -121.829167024], [37.335479992, -121.829633024], [37.338034992, -121.832112025], [37.339772992, -121.829299025], [37.344760991, -121.834141026]]",Census Tract 5035.07,8.00%
1042,"[[37.718094983, -122.408268155], [37.726689983, -122.417423159], [37.719336983, -122.410015156], [37.722631983, -122.417927158], [37.726429983, -122.418417159], [37.724198983, -122.406566156], [37.724888983, -122.409040157], [37.724714983, -122.419888158], [37.721965983, -122.416562158], [37.727719984, -122.413488158]]",Census Tract 259,8.00%
1043,"[[38.358874068, -121.983207166], [38.363502068, -121.990502168], [38.358947068, -121.984466166], [38.359274066, -122.004780169], [38.356645067, -121.987745167], [38.357649068, -121.983130166], [38.360152068, -121.989166167], [38.356808067, -122.001052168], [38.356605067, -121.986491166], [38.361905067, -122.00475917]]",Census Tract 2532.03,8.00%
1044,"[[38.307421009, -122.70490827], [38.318951011, -122.69988227], [38.30918301, -122.712986271], [38.306776009, -122.70540527], [38.329956012, -122.705657273], [38.327133012, -122.703011272], [38.32324901, -122.713257273], [38.328935011, -122.712900273], [38.325585012, -122.704819272], [38.328924012, -122.704143272]]",Census Tract 1512.04,8.10%
1045,"[[38.350702014, -122.695169274], [38.350696014, -122.697663274], [38.351979015, -122.685576272], [38.360442015, -122.693468275], [38.364238013, -122.711981278], [38.350711015, -122.685751272], [38.364128014, -122.712722278], [38.361151016, -122.685777273], [38.361792016, -122.685781273], [38.360430015, -122.693920275]]",Census Tract 1513.08,8.10%
1046,"[[38.265347058, -122.019852161], [38.270866058, -122.016771161], [38.263052057, -122.01997716], [38.272014058, -122.01638816], [38.258427057, -122.019995159], [38.272085058, -122.01637416], [38.272666058, -122.01596016], [38.267987058, -122.01726816], [38.258107056, -122.021268159], [38.265334057, -122.01922216]]",Census Tract 2526.08,8.10%
1047,"[[37.375600995, -121.821117027], [37.363394994, -121.825762026], [37.368123994, -121.826025028], [37.369231994, -121.825332027], [37.374326995, -121.817908027], [37.373091996, -121.814876026], [37.371654995, -121.811633026], [37.364399994, -121.821674027], [37.364619994, -121.826901027], [37.365863994, -121.819519026]]",Census Tract 5041.01,8.10%
1048,"[[37.993471013, -122.301882171], [37.997193015, -122.286195169], [37.994271015, -122.285671169], [37.970611013, -122.280822165], [37.995056015, -122.285723169], [37.981189013, -122.297011169], [37.986352014, -122.282562167], [37.973475014, -122.268980164], [37.972094014, -122.276083165], [37.974015014, -122.273935165]]",Census Tract 3601.01,8.10%
1049,"[[37.326706993, -121.797565018], [37.324763993, -121.795722018], [37.331392994, -121.784585017], [37.330445994, -121.782444016], [37.327626993, -121.797867019], [37.330275993, -121.790252017], [37.330496994, -121.788984017], [37.324816993, -121.790091017], [37.328671992, -121.798314019], [37.324843993, -121.787059017]]",Census Tract 5033.24,8.10%
1050,"[[37.625856969, -122.487942158], [37.62652397, -122.480599156], [37.626316969, -122.485512157], [37.625901969, -122.487766158], [37.633854971, -122.474927156], [37.62701897, -122.479982157], [37.643439971, -122.476554158], [37.625751969, -122.485454157], [37.64431697, -122.49365816], [37.63132897, -122.476881157]]",Census Tract 6030,8.10%
1051,"[[37.672818018, -121.859026066], [37.672283018, -121.858539067], [37.670528018, -121.857203066], [37.675775018, -121.862789067], [37.673016019, -121.859299066], [37.693985021, -121.859130069], [37.686160019, -121.877324071], [37.689855021, -121.841834066], [37.672631019, -121.858824066], [37.685919021, -121.837776065]]",Census Tract 4507.45,8.10%
1052,"[[37.359276994, -121.814527024], [37.352528994, -121.815861024], [37.354829994, -121.817959024], [37.353885995, -121.804051022], [37.353363994, -121.804766022], [37.352614994, -121.815938024], [37.355432994, -121.804041023], [37.349452994, -121.808952023], [37.358899994, -121.809986024], [37.351446993, -121.814874023]]",Census Tract 5035.08,8.10%
1053,"[[38.502729014, -122.859742317], [38.557972019, -122.856118323], [38.511436016, -122.836015315], [38.526964018, -122.830710315], [38.493754012, -122.879214318], [38.536529019, -122.826010315], [38.496997016, -122.826908311], [38.525418017, -122.839762316], [38.527801015, -122.86226232], [38.514141017, -122.840132316]]",Census Tract 1538.10,8.10%
1054,,Census Tract 1513.09,8.10%
1055,"[[37.319598983, -121.925259037], [37.322043984, -121.913755035], [37.316680983, -121.919559036], [37.319675984, -121.913744036], [37.316123984, -121.914629035], [37.319659983, -121.925460037], [37.321578984, -121.913751036], [37.319585983, -121.924909037], [37.319860983, -121.928527038], [37.322170984, -121.913756035]]",Census Tract 5020.02,8.20%
1056,"[[37.907157007, -122.295055161], [37.913156007, -122.304288163], [37.912576007, -122.301226162], [37.904762006, -122.302706161], [37.912304007, -122.301003161], [37.913170006, -122.301691162], [37.912128006, -122.306572163], [37.905616006, -122.299827161], [37.911815006, -122.307258163], [37.912705007, -122.305275162]]",Census Tract 3880,8.20%
1057,"[[37.974740996, -122.526134203], [37.968947995, -122.531670204], [37.970676996, -122.523302203], [37.972477996, -122.521393202], [37.969317995, -122.531564203], [37.970433995, -122.531225204], [37.970646996, -122.522998202], [37.968190995, -122.531312203], [37.968118994, -122.530467203], [37.970785995, -122.524296203]]",Census Tract 1110.01,8.20%
1058,"[[38.041459052, -121.838987106], [38.034146046, -121.901978115], [38.030319047, -121.888393112], [38.051979052, -121.841672108], [38.031342047, -121.900924115], [38.029772051, -121.835356104], [38.020750048, -121.856649106], [38.015040048, -121.860076106], [38.022244049, -121.850768106], [38.025314047, -121.87671611]]",Census Tract 3090,8.20%
1059,"[[38.302035038, -122.31605221], [38.287540037, -122.316068209], [38.303621038, -122.320986211], [38.303996038, -122.324205212], [38.287524037, -122.316109209], [38.293583036, -122.343241214], [38.298585038, -122.31486421], [38.304805037, -122.328941212], [38.296344036, -122.341625214], [38.302954038, -122.319021211]]",Census Tract 2008.03,8.20%
1060,"[[37.29662398, -121.939505037], [37.297787981, -121.931674036], [37.303624981, -121.931739036], [37.302051981, -121.931727036], [37.29699698, -121.931685036], [37.317170982, -121.940190039], [37.317301982, -121.938862039], [37.297239981, -121.931681036], [37.29439698, -121.938284036], [37.29915298, -121.940465038]]",Census Tract 5021.01,8.20%
1061,"[[37.740174003, -122.155935119], [37.744258003, -122.15384412], [37.747547003, -122.157358121], [37.746329003, -122.160466122], [37.745054003, -122.159519121], [37.744672004, -122.15437512], [37.740777003, -122.15639412], [37.744433003, -122.15406112], [37.740002003, -122.15180312], [37.749774003, -122.163006122]]",Census Tract 4102,8.20%
1062,"[[37.722439982, -122.425663159], [37.728645982, -122.42597716], [37.723695982, -122.423820159], [37.725155982, -122.42692516], [37.727721982, -122.43237616], [37.725399983, -122.422356159], [37.728681982, -122.42530316], [37.726601982, -122.422853159], [37.727641982, -122.43246016], [37.728549982, -122.42822216]]",Census Tract 260.02,8.20%
1063,"[[37.999066049, -121.823725099], [37.994625049, -121.822817098], [37.998655049, -121.823273099], [38.000382049, -121.8299091], [37.996382049, -121.822741098], [37.989656048, -121.832092099], [37.989939047, -121.833567099], [37.992588048, -121.823153098], [37.999360048, -121.8332721], [37.994961049, -121.822823098]]",Census Tract 3072.04,8.20%
1064,"[[37.75540298, -122.492688172], [37.76473498, -122.494527174], [37.75754698, -122.486395172], [37.763141981, -122.486783173], [37.764912981, -122.490243174], [37.75559298, -122.488399172], [37.75535598, -122.493764173], [37.755277979, -122.495446174], [37.765058981, -122.486919173], [37.76097898, -122.495845174]]",Census Tract 327,8.20%
1065,"[[37.703421002, -122.125828111], [37.702869002, -122.125072111], [37.709339003, -122.124815112], [37.703853002, -122.126453112], [37.705500003, -122.11702511], [37.707193003, -122.120705111], [37.700567002, -122.12025411], [37.709806003, -122.124237112], [37.701228002, -122.12270311], [37.706973002, -122.127818112]]",Census Tract 4338.01,8.20%
1066,"[[37.779403981, -122.498674177], [37.781631982, -122.493459176], [37.773804981, -122.498263176], [37.777632981, -122.496392176], [37.773951981, -122.495052175], [37.772085981, -122.494916175], [37.777583982, -122.497468176], [37.781381981, -122.498814177], [37.779826982, -122.493327176], [37.781531982, -122.495604176]]",Census Tract 478.02,8.20%
1067,"[[37.370503983, -121.987289052], [37.388484983, -122.000323056], [37.388504983, -122.000013056], [37.388274984, -121.999043056], [37.371520984, -121.987097052], [37.388934984, -121.988743054], [37.383734982, -122.014203058], [37.370526983, -121.995919054], [37.388554983, -122.013963058], [37.388226983, -122.011158058]]",Census Tract 5087.08,8.30%
1068,"[[37.577807974, -122.356609132], [37.585218974, -122.370306135], [37.584034975, -122.365977134], [37.580342974, -122.363352134], [37.585428975, -122.362388133], [37.584783974, -122.370607135], [37.580980974, -122.371895135], [37.579329974, -122.361176133], [37.579104974, -122.360772133], [37.580017975, -122.363015133]]",Census Tract 6053,8.30%
1069,"[[37.763673983, -122.452413168], [37.762171983, -122.452110167], [37.765143984, -122.447648167], [37.762847983, -122.452246167], [37.768253984, -122.453219168], [37.762523983, -122.449309167], [37.768450984, -122.451689169], [37.764513983, -122.452582167], [37.768733984, -122.449467168], [37.766378984, -122.452960168]]",Census Tract 171.02,8.30%
1070,"[[37.510519997, -121.958869064], [37.519367998, -121.955458064], [37.520065997, -121.968372067], [37.519956997, -121.968340066], [37.523037998, -121.964639066], [37.523630999, -121.959978065], [37.510693997, -121.957923063], [37.509771997, -121.963198064], [37.522169998, -121.968940067], [37.514080997, -121.965824065]]",Census Tract 4430.02,8.30%
