,the_geom,Geographic_Area_Name,estimatedPercentBelowPovertyLevel
32,"[[37.915236027, -122.02202212], [37.914373028, -122.016696119], [37.913482028, -122.005879117], [37.913536029, -122.006922117], [37.910072029, -121.995760115], [37.919160026, -122.037733122], [37.914500026, -122.041970122], [37.915783027, -122.02546712], [37.915157026, -122.041414123], [37.909027027, -122.02594212]]",Census Tract 3383.02,0.70%
33,"[[37.218151978, -121.867278017], [37.221053978, -121.866515017], [37.210262978, -121.858697015], [37.221359979, -121.862684017], [37.210331979, -121.847124013], [37.221357978, -121.867327018], [37.220303979, -121.860475016], [37.210829978, -121.853381014], [37.218991978, -121.867293017], [37.214855978, -121.866095017]]",Census Tract 5119.05,0.70%
34,"[[37.289153996, -121.712476001], [37.297891992, -121.76479001], [37.321125995, -121.756884011], [37.331519997, -121.74267001], [37.293643993, -121.744767006], [37.298613993, -121.755346009], [37.299113993, -121.757296009], [37.299754992, -121.769211011], [37.330299996, -121.744202011], [37.294149993, -121.745643007]]",Census Tract 5033.30,0.80%
35,"[[37.373494976, -122.095693069], [37.365664975, -122.089763068], [37.365121976, -122.079159066], [37.366874975, -122.095013068], [37.373250977, -122.077924066], [37.365039975, -122.089540068], [37.373036975, -122.095953069], [37.373307976, -122.089872069], [37.370764976, -122.095983069], [37.373314976, -122.090729068]]",Census Tract 5099.01,0.80%
36,"[[37.681715029, -121.718684045], [37.693883029, -121.73219205], [37.682306029, -121.720774046], [37.681751029, -121.719785046], [37.686329029, -121.729182048], [37.681773029, -121.719806046], [37.681526029, -121.719412046], [37.683853029, -121.725088047], [37.690091029, -121.732184049], [37.69143903, -121.718681047]]",Census Tract 4515.05,0.80%
37,"[[37.16666599, -121.633287975], [37.152244992, -121.585762966], [37.16678199, -121.633169975], [37.14226499, -121.601472968], [37.152184987, -121.652002977], [37.134274988, -121.626662971], [37.14196499, -121.602382967], [37.151024992, -121.589402967], [37.165314988, -121.654990979], [37.16470499, -121.636452976]]",Census Tract 5123.08,0.80%
38,"[[37.933362007, -122.320366168], [37.948444008, -122.32196717], [37.943248009, -122.316856168], [37.938961007, -122.325409169], [37.938328007, -122.318031168], [37.945174008, -122.320458168], [37.936584008, -122.320338167], [37.948297009, -122.32599617], [37.937052007, -122.326365168], [37.945115008, -122.320279168]]",Census Tract 3700,0.80%
39,"[[37.237750972, -121.979386037], [37.241964971, -122.00096704], [37.248914974, -121.970783037], [37.250794972, -121.99358304], [37.246722973, -121.972721037], [37.238414971, -121.983543038], [37.231213971, -121.984459037], [37.239734972, -121.982412037], [37.239593971, -121.996451039], [37.250781973, -121.980381038]]",Census Tract 5072.06,0.80%
40,"[[37.260941982, -121.858695021], [37.265798983, -121.84853202], [37.265529984, -121.850284019], [37.265863984, -121.847818019], [37.260582983, -121.858695021], [37.265558983, -121.85169402], [37.259362982, -121.85870302], [37.255609982, -121.85882002], [37.265981983, -121.855185021], [37.265540983, -121.85014902]]",Census Tract 5120.25,0.80%
41,"[[37.236173978, -121.889271022], [37.228711978, -121.884257021], [37.230805978, -121.896237023], [37.235710978, -121.889824023], [37.220092977, -121.88559402], [37.220229977, -121.887720021], [37.220396977, -121.88482002], [37.227680976, -121.900987023], [37.232673978, -121.884157021], [37.227583977, -121.901129023]]",Census Tract 5119.13,0.80%
42,"[[37.514153971, -122.328030121], [37.511163971, -122.320928119], [37.523058974, -122.301719117], [37.519293972, -122.31943112], [37.521856973, -122.313094119], [37.519197972, -122.315046119], [37.516533974, -122.296300116], [37.519232972, -122.31857212], [37.518653972, -122.32534512], [37.520513972, -122.324380121]]",Census Tract 6088,0.80%
43,"[[37.365374974, -122.10685307], [37.379655976, -122.09449707], [37.384655977, -122.09176007], [37.381384976, -122.09393207], [37.382860976, -122.099203071], [37.379204975, -122.102733071], [37.372665975, -122.095956069], [37.381151976, -122.100860071], [37.386044977, -122.096323071], [37.365840974, -122.10468907]]",Census Tract 5102,0.80%
44,"[[37.79007499, -122.390984161], [37.78884299, -122.389442161], [37.78813999, -122.390332161], [37.78857699, -122.390877161], [37.78937399, -122.391871161], [37.79007499, -122.390984161]]",Census Tract 615.05,0.80%
45,"[[38.275433064, -121.939882149], [38.273705063, -121.951232151], [38.276658063, -121.949640151], [38.281663064, -121.943521151], [38.271813063, -121.95291315], [38.282992064, -121.958535153], [38.273248062, -121.960600152], [38.282897065, -121.94224415], [38.286728065, -121.93300815], [38.282597064, -121.949491152]]",Census Tract 2528.01,0.80%
46,"[[37.676986017, -121.87410907], [37.665072016, -121.873937068], [37.664539017, -121.872335068], [37.668375018, -121.864023067], [37.670945017, -121.872829068], [37.676598018, -121.863901067], [37.673351019, -121.859859067], [37.685395018, -121.876051071], [37.678830018, -121.87479407], [37.665340017, -121.873851068]]",Census Tract 4507.46,0.90%
47,"[[37.825170027, -121.928550094], [37.821734027, -121.921205093], [37.814154026, -121.921912092], [37.813343026, -121.922269093], [37.832442023, -121.982209104], [37.811425023, -121.956706098], [37.810031026, -121.923465092], [37.811666025, -121.922894093], [37.830685026, -121.948470098], [37.816151023, -121.9675311]]",Census Tract 3462.04,0.90%
48,"[[37.78622899, -122.389650161], [37.78658199, -122.390094161], [37.78510699, -122.394171161], [37.78664299, -122.390170161], [37.783706989, -122.394411161], [37.78618299, -122.389796161], [37.78663199, -122.390156161], [37.785236989, -122.390979161], [37.785117989, -122.394157161], [37.783924989, -122.394684161]]",Census Tract 615.04,0.90%
49,"[[37.863209014, -122.153133133], [37.871831012, -122.177611139], [37.846251011, -122.157833132], [37.845865012, -122.156666132], [37.865976014, -122.154561134], [37.862092009, -122.209198142], [37.865859013, -122.165476136], [37.869030014, -122.156265135], [37.873358011, -122.18840814], [37.848641012, -122.152700132]]",Census Tract 3530.01,0.90%
50,"[[37.799423988, -122.43597417], [37.802852988, -122.43498617], [37.800726988, -122.436238169], [37.800757988, -122.429499169], [37.799176988, -122.426644168], [37.798956988, -122.43587917], [37.799792988, -122.429303169], [37.800316989, -122.424456168], [37.800147988, -122.426507168], [37.798862988, -122.429115168]]",Census Tract 129.02,1.00%
51,"[[37.775081024, -121.903550085], [37.788671025, -121.905097087], [37.770130024, -121.906913085], [37.788753025, -121.911682088], [37.772080024, -121.904621084], [37.792414024, -121.92484809], [37.788874025, -121.912738088], [37.794876026, -121.911007089], [37.788560024, -121.92670409], [37.777304025, -121.902127085]]",Census Tract 3551.21,1.00%
52,"[[37.56577898, -122.262742117], [37.56081798, -122.268126117], [37.56548198, -122.267359117], [37.55685798, -122.261090115], [37.56256098, -122.257155115], [37.56292598, -122.268032117], [37.55826698, -122.256062114], [37.56551898, -122.267856117], [37.56049998, -122.256055115], [37.56321598, -122.268001117]]",Census Tract 6081,1.00%
53,"[[37.28644299, -121.777238011], [37.274333991, -121.746375005], [37.270612991, -121.750808005], [37.291394992, -121.765560009], [37.273853991, -121.759614007], [37.295832991, -121.768713011], [37.297502991, -121.782401012], [37.29092899, -121.782771012], [37.295993991, -121.784990013], [37.275844991, -121.762782007]]",Census Tract 5033.39,1.00%
54,"[[38.325966067, -121.960108158], [38.31539107, -121.901724148], [38.312061069, -121.91551915], [38.328622068, -121.952174158], [38.329687068, -121.951742158], [38.333077072, -121.89702715], [38.315595065, -121.963680158], [38.329618068, -121.944401156], [38.33212707, -121.925757154], [38.315891071, -121.897119148]]",Census Tract 2529.15,1.00%
55,"[[37.450510979, -122.139125084], [37.45565298, -122.139855086], [37.452159978, -122.159063087], [37.456886979, -122.140829086], [37.450883978, -122.157060088], [37.446624979, -122.139753085], [37.453104978, -122.160603088], [37.45636698, -122.140371085], [37.454328978, -122.155624087], [37.456730979, -122.140700085]]",Census Tract 5112,1.00%
